date,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,score1,score2
2009-12-06,2009,WAS,NO,1417.825,1726.859,0.19705985981071863,0.8029401401892813,1423.37649564,1720.55990369,104.08057592031,247.61843309214,-2.02082607237,17.3193398674,30,33
2009-12-06,2009,CIN,DET,1560.497,1251.702,0.8958309802384095,0.10416901976159054,1557.93413301,1269.28597228,126.21058917984,77.37912332964,6.58284221454,1.88416428006,23,13
2009-12-06,2009,JAX,HOU,1442.797,1507.267,0.5007627307204203,0.4992372692795797,1445.48393502,1495.23343507,123.87097647507,183.93009203184,0.724874732365,18.7500581191,23,18
2009-12-06,2009,MIA,NE,1498.589,1639.631,0.39228129686474333,0.6077187031352567,1484.88315205,1636.86898011,73.87255350915,225.70002156867,-26.1822857951,15.6902679312,22,21
2009-12-06,2009,CLE,SD,1310.524,1626.883,0.190473147758695,0.809526852241305,1312.65605879,1612.80773403,57.3944421567,189.00597486111,18.0343787107,17.7060848554,23,30
2009-12-06,2009,KC,DEN,1362.697,1507.771,0.38676214265317566,0.6132378573468243,1366.12701859,1509.9857265,72.42584771961,123.34433815869,9.40608929938,11.2363248226,13,44
2009-12-06,2009,PIT,OAK,1618.783,1345.356,0.8752439495759308,0.12475605042406925,1596.80967579,1348.84306776,138.22499448153,52.62378170346,14.8970723216,-9.74866034602,24,27
2009-12-06,2009,NYG,DAL,1536.583,1597.457,0.5059375121897984,0.4940624878102016,1523.31266246,1592.03457287,121.46361203921998,149.34980193869998,8.10838896696,7.4272785134,31,24
2009-12-06,2009,SEA,SF,1423.712,1457.545,0.5447329919776034,0.4552670080223966,1441.54440247,1472.15486296,76.97844181136999,58.47850939292999,-5.34472962551,-31.5713729627,20,17
2009-12-06,2009,ATL,PHI,1540.329,1597.523,0.511231847187766,0.4887681528122339,1534.18277334,1591.18262621,91.35618309576,155.36348336124,-21.5532245304,-7.24557876951,7,34
2009-12-06,2009,CAR,TB,1473.279,1370.72,0.7240312938031255,0.2759687061968745,1463.80574466,1358.76861759,27.688363314018,103.2970844466,-29.2035824469,26.6342093449,16,6
2009-12-06,2009,IND,TEN,1735.13,1562.82,0.7967438407545034,0.20325615924549656,1704.58429016,1542.63691012,237.08164845519,128.44861551521998,14.1196609539,16.9263711519,27,17
2009-12-06,2009,CHI,STL,1442.572,1263.105,0.8033342315361404,0.19666576846385964,1432.28551586,1288.35010557,110.65081000413,55.87147770006,-7.01281123955,9.94625360185,17,9
2009-12-06,2009,ARI,MIN,1589.926,1649.404,0.5079461277327743,0.49205387226722574,1582.07825932,1652.23045421,202.52409801392997,195.76890447774,13.2064044022,45.3639488096,30,17
2009-12-07,2009,GB,BAL,1534.378,1610.575,0.4838917980522192,0.5161082019477807,1545.27445076,1575.14072881,190.75397395659,111.61729330686,21.6907634679,7.40617177386,27,14
2009-12-10,2009,CLE,PIT,1303.415,1590.105,0.21820625330184396,0.781793746698156,1305.0464956,1569.28994515,74.48307770244,147.90104508102,25.676977548100002,19.0883923004,13,6
2009-12-13,2009,ATL,NO,1506.137,1731.777,0.2839975101514262,0.7160024898485737,1501.72638392,1725.1169016,84.02221851936,258.94686859305,-23.8627134223,22.0272408676,23,26
2009-12-13,2009,DAL,SD,1576.948,1633.992,0.5114476035038896,0.4885523964961104,1570.60316942,1620.41729723,175.55402145204,200.42597125353,19.9892813103,22.2924678425,17,20
