"game_type","weekday","location","total_line","away_rest","home_rest","div_game","roof","surface","temp","wind","total_team_elo","total_qb_elo","home_total_offense_rank","home_total_defense_rank","away_total_defense_rank","away_total_offense_rank","off_def_diff"
"REG","Sunday","Home",50.5,10,7,0,"outdoors","grass",37,4,3186.89822156,29.480546763299,16,21,4,1,-8
"REG","Sunday","Home",40.5,7,6,0,"outdoors","fieldturf",58,36,2940.9089316,-54.84125383153,26,20,17,17,6
"REG","Sunday","Home",47,7,7,0,"dome","fieldturf",72,0,3055.98274739322,6.22403470004248,3,20,18,8,-27
"REG","Sunday","Home",32,7,7,0,"outdoors","fieldturf",57,7,3035.40346012,-36.37503501048,23,6,4,15,28
"REG","Sunday","Home",48,7,7,1,"outdoors","fieldturf",55,7,3064.23782019,18.65808405668,3,2,20,4,-15
"REG","Sunday","Home",47,7,7,0,"outdoors","grass",64,3,3014.95182053,79.42439729275,25,25,11,18,7
"REG","Sunday","Home",42,7,7,0,"dome","astroturf",72,0,2800.36543339,-27.18153817001,29,23,29,25,2
"REG","Sunday","Home",40,7,7,0,"outdoors","grass",53,12,2964.97122173154,-52.2557953658687,30,28,18,18,2
"REG","Sunday","Home",40.5,7,7,0,"outdoors","grass",33,9,3082.0394703,-71.6950232297,5,32,9,10,-26
"REG","Sunday","Home",45,7,6,0,"outdoors","grass",67,12,2906.37828566,-14.1991903195,5,22,20,14,-23
"REG","Sunday","Home",52.5,7,7,0,"outdoors","fieldturf",60,8,3235.45640046,40.9259300566,22,14,2,2,8
"REG","Sunday","Home",49.5,7,7,0,"outdoors","grass",43,15,3227.7990311,41.3296300468,4,24,12,12,-20
"REG","Sunday","Home",40.5,7,6,1,"outdoors","grass",59,6,3186.71224485,-69.3702237406,31,26,23,26,8
"REG","Sunday","Home",43,7,7,1,"open","astroturf",72,0,3020.55931405,67.6629190245,18,32,19,8,-25
"REG","Sunday","Home",38,7,7,1,"outdoors","grass",89,4,2900.45472845,-18.81189185243,25,25,19,22,3
"REG","Sunday","Home",37,7,7,0,"outdoors","grass",40,8,2941.61004838,10.2900948413,16,11,15,31,21
"REG","Sunday","Home",46.5,7,7,1,"outdoors","grass",82,6,3020.97031027,-0.4315063198,25,12,32,5,-14
"REG","Sunday","Home",42.5,7,7,0,"outdoors","grass",58,22,3183.890915,8.18802820327,10,7,31,9,-19
"REG","Sunday","Home",47,7,7,1,"outdoors","fieldturf",39,8,3104.30238854,6.7410313816,21,6,31,3,-13
"REG","Sunday","Home",42,6,7,1,"outdoors","grass",81,0,3194.55102968,-1.652307373261,27,3,19,3,8
"REG","Sunday","Home",41.5,10,14,0,"outdoors","fieldturf",50,15,2815.44750057556,-9.70564515750984,21,17,26,26,4
"REG","Sunday","Home",45.5,7,7,1,"outdoors","grass",75,0,3190.3072835063,-44.7824309564257,1,24,13,24,-12
"REG","Sunday","Home",38,8,7,1,"outdoors","grass",40,15,3071.31551359,17.48303088918,21,9,31,15,-4
"REG","Sunday","Home",41,7,7,0,"outdoors","grass",87,3,3022.43736175,0.79792684558,5,22,6,26,3
"REG","Sunday","Home",44,14,14,1,"outdoors","grass",59,11,2914.56077326,-0.259848379419999,21,24,6,11,2
"REG","Sunday","Home",46,7,7,0,"outdoors","grass",27,8,3116.05766418,18.23513075513,14,11,20,3,-14
