total_line,temp,wind,total_qb_elo,team_elo_diff,qb_elo_diff,avg_home_total_yards,avg_away_total_yards,avg_home_total_yards_against,avg_away_total_yards_against,div_game,roof_closed,roof_dome,roof_open,roof_outdoors,surface_astroplay,surface_astroturf,surface_dessograss,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf,total_result
41.0,70,9,20.90623868303,102.67002511,3.33747261597,314.428571428571,345.0,306.285714285714,284.632653061224,0,0,0,0,1,0,0,0,0,1,0,0,Under
37.0,45,18,16.70306922551,2.51027191000003,31.88513745229,329.428571428571,337.875,298.657142857143,320.875,1,0,0,0,1,0,0,0,0,1,0,0,Under
63.0,60,13,-69.1703092763,251.25425058,136.5564404937,408.75,510.285714285714,339.041666666667,330.828571428571,1,0,0,0,1,0,0,0,0,1,0,0,Under
44.5,72,10,-56.9293544833,16.0636108200001,13.8654525075,306.285714285714,350.0,314.428571428571,368.25,0,0,0,0,1,0,1,0,0,0,0,0,Under
43.0,52,5,6.9614874009,129.4946532,29.0768320415,289.875,335.0,347.4375,508.777777777778,1,0,0,0,1,0,0,0,1,0,0,0,Under
42.5,63,8,81.0156995033,251.9645213,34.4129310927,305.0,348.142857142857,373.916666666667,289.795918367347,1,0,0,0,1,0,0,0,0,1,0,0,Under
37.5,54,9,21.49954805892,8.12985479999998,3.50988658948,368.25,348.0,350.0,324.632653061225,0,0,0,0,1,0,0,0,0,1,0,0,Over
40.0,72,0,4.3965661849,176.08312767,27.0192196795,284.444444444444,317.875,328.380952380952,391.125,0,0,1,0,0,0,1,0,0,0,0,0,Over
45.0,57,12,23.362750089401,262.10182165,24.895665365799,320.875,426.75,337.875,291.75,0,0,0,0,1,0,0,0,0,1,0,0,Over
32.5,57,5,-24.56240512709,160.73565148,27.83737741451,283.375,319.0,261.046875,303.412698412698,1,0,0,0,1,0,0,0,0,1,0,0,Over
33.5,49,6,-69.48116087258,248.65189602,62.43595111542,262.0,338.875,283.698412698413,320.765625,0,0,0,0,1,0,0,0,0,1,0,0,Under
39.0,72,0,14.8357969775,68.2677795500001,6.0838009553,291.75,302.428571428571,426.75,339.612244897959,0,0,1,0,0,0,1,0,0,0,0,0,Under
39.0,46,20,33.68737823988,64.0059476500001,25.65098733012,308.875,376.714285714286,427.3125,327.224489795918,1,0,0,0,1,0,0,0,0,1,0,0,Under
48.0,72,0,40.08733498261,112.77004301,29.36928984359,333.875,400.555555555556,326.875,504.587301587302,1,0,1,0,0,0,1,0,0,0,0,0,Under
40.0,52,18,92.9808042147,48.89576704,65.0379804293,322.666666666667,310.25,337.825396825397,355.25,1,0,0,0,1,0,1,0,0,0,0,0,Under
36.5,56,9,0.2262478029,151.14847686,18.50567047514,328.5,302.625,358.71875,318.5,1,0,0,0,1,0,0,0,0,1,0,0,Under
40.0,65,8,9.62675913034,302.2809636,14.23258966966,326.875,359.777777777778,333.875,330.666666666667,1,0,0,0,1,0,0,0,0,1,0,0,Under
45.5,51,20,38.53141155494,41.9965610900001,33.84343546726,326.875,425.0,377.5,283.0625,0,0,0,0,1,0,0,0,0,1,0,0,Over
44.0,66,7,31.3845407241,41.0863203599999,6.1068942297,334.5,346.857142857143,298.25,300.892857142857,1,0,0,0,1,0,0,0,0,1,0,0,Over
39.5,48,8,47.6846310383,69.3143093400001,69.0803371889,298.444444444444,297.285714285714,344.222222222222,332.551020408163,1,0,0,0,1,0,0,0,1,0,0,0,Under
59.5,72,0,-114.7732189453,176.69680504,78.8356067591,503.875,326.875,399.53125,284.5,1,0,1,0,0,0,1,0,0,0,0,0,Under
47.5,50,19,17.12066476134,107.58208459,15.03997001426,339.875,391.125,302.520833333333,317.875,1,0,0,0,1,0,0,0,0,1,0,0,Under
39.5,40,10,30.61905564988,153.46203803,21.94754934892,369.625,326.333333333333,295.890625,422.888888888889,0,0,0,0,1,0,1,0,0,0,0,0,Under
37.5,57,3,-9.1376745577,5.33400211000003,32.9078080609,324.333333333333,341.111111111111,499.222222222222,394.493827160494,1,0,0,0,1,0,0,0,0,1,0,0,Under
39.0,50,15,-51.9929359332,92.2091335299999,4.6705595828,310.555555555556,272.0,326.481481481482,326.444444444444,0,0,0,0,1,0,1,0,0,0,0,0,Under
40.0,72,0,-22.00791698384,83.64676927,37.23647230856,289.111111111111,286.6,302.269841269841,313.2875,0,0,1,0,0,0,1,0,0,0,0,0,Under
